Name,Code,Latitude,Longitude,Mode,Passenger 2015 ,Passenger 2016,Passenger 2017
Sacramento International Airport,SMF,38.6951,-121.5901,Airport,"9,561,826","10,118,795","10,911,438"
San Francisco International Airport,SFO,37.6213,-122.379,Airport,"50,048,860","53,092,059","55,810,339"
Metropolitan Oakland International Airport,OAK,37.7126,-122.2197,Airport,"11,205,063","12,070,967","13,072,245"
N. Mineta San Jose International Airport,SJC,37.3639,-121.9289,Airport,"9,577,292","10,621,412","12,206,183"
Los Angeles International Airport,LAX,33.9416,-118.4085,Airport,"74,396,356","80,887,826","84,554,427"
Bob Hope Airport,BUR,34.1983,-118.3574,Airport,"4,239,729","4,142,943","4,739,466"
Long Beach Airport,LGB,33.8178,-118.1525,Airport,"2,523,686","2,846,283","3,719,589"
Ontario International Airport,ONT,34.0559,-117.5981,Airport,"4,217,366","4,254,353","4,552,318"
San Diego International Airport,SAN,32.7336,-117.1933,Airport,"20,045,258","20,659,532","22,174,767"
Regional Transportation Intermodal Center,,33.8034,-117.8775,Train,236318,243861,247550
Antioch-Pittsburg,,38.0178,-121.8162,Train,43217,39995,38103
Auburn,,38.9036,-121.0833,Train,14779,15732,13352
Bakersfield,,35.3722,-119.0077,Train,504631,480888,471953
Harvey House Railord Depot,,34.9047,-117.0247,Train,3463,3153,3509
Berkeley,,37.8673,-122.3007,Train,136321,149942,155004
Amtrak/Metrolink-South Station,,34.1931,-118.3528,Train,57971,60625,63845
Camarillo,,34.2159,-119.0342,Train,45959,46319,48599
Carlsbad Village,,33.1609,-117.3508,Train,7350,7252,8116
Carpinteria,,34.3967,-119.5231,Train,29457,30762,32692
Chatsworth,,34.253,-118.5995,Train,61847,61089,62925
Chico,,39.7234,-121.8461,Train,13736,13144,12154
Colfax,,39.0999,-120.9529,Train,4631,6277,7035
Corcoran,,36.0983,-119.5571,Train,32331,30104,28440
Davis,,38.5435,-121.7375,Train,370013,376673,371782
Dunsmuir,,41.2112,-122.2706,Train,6166,5958,5330
Emeryville,,37.8406,-122.2914,Train,578025,578853,575227
Encinitas,,33.0471,-117.2931,Train,7067,7564,8449
Fremont,,37.5588,-122.0077,Train,35475,40617,41751
Fresno,,36.7384,-119.7827,Train,381598,362526,366726
Fullerton,,33.8688,-117.9228,Train,281869,293379,289633
Glendale,,34.1237,-118.2589,Train,44128,45401,47515
Goleta,,34.4378,-119.8432,Train,75277,75932,77911
Grover Beach,,35.1213,-120.6292,Train,19437,18986,18878
Guadalupe,,34.9629,-120.5735,Train,12718,12226,12426
Hanford,,36.3261,-119.652,Train,211489,198154,193317
Hayward,,37.666,-122.0994,Train,40631,47351,50361
Irvine,,33.6568,-117.7335,Train,330127,354201,333585
Lodi,,38.1332,-121.2718,Train,10185,8617,7978
Los Angeles,,34.0566,-118.235,Train,1318998,1365178,1410919
Madera,,37.0226,-120.0751,Train,27718,27136,27751
Martinez,,38.0192,-122.1384,Train,360954,361584,343396
Merced,,37.3073,-120.4768,Train,127501,120134,125078
Modesto,,37.669,-120.9127,Train,120518,116368,114530
Moorpark,,34.2849,-118.8781,Train,16496,17202,18068
Needles,,34.84,-114.6044,Train,8656,8017,9176
Oakland Coliseum,,37.7527,-122.1982,Train,56943,70235,77072
Oakland ,,37.7526,-122.1973,Train,317026,341833,363159
Oceanside Transportation Center,,33.1929,-117.3792,Train,258234,313458,292707
Ontario,,34.0616,-117.6496,Train,4824,4864,4901
Oxnard,,34.1996,-119.1757,Train,85406,84303,85605
Palm Spring,,33.8977,-116.5481,Train,3124,3042,3142
Paso Robles,,35.6227,-120.6873,Train,12149,12037,11377
Poinsettia,,33.1089,-117.319,Train,6176,7087,6852
Pomona,,34.0591,-117.7513,Train,1812,1716,1601
Redding,,40.5837,-122.3933,Train,12345,11208,10475
Richmond,,37.9368,-122.354,Train,248426,267689,289988
Riverside,,33.9757,-117.37,Train,12837,12287,12644
Rocklin,,38.791,-121.2373,Train,15074,16403,15926
Roseville,,38.75,-121.2863,Train,34528,39349,38484
Sacramento,,38.5798,-121.494,Train,1011443,1038240,1059805
Salinas,,36.6793,-121.6562,Train,21716,21336,20410
San Bernardino,,34.1042,-117.3099,Train,12287,115790,12384
